objectid,title,format,filename,subject,illustrator,painter,engraver,description,extent,date,publisher,location,latitude,longitude,identifier,platenumber
item1,Frontispiece,image/jpeg,B114V1F1.jpg,Milton,,,J. Roper,,"1 print: engraving ; image 68 x 54 mm., on sheet 244 x 150 mm",1796,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.1,F1
item2,Book II. L. 675.,image/jpeg,B114V1F33.jpg,Monster; Hell,Corbould,,White,"The Monster moving onward as fast, With horrid stides; Hell trembled as he strode.","1 print: engraving ; image 168 x 110 mm., on sheet 244 x 150 mm",1795-05-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.1,F33
item3,Book III. L. 681.,image/jpeg,B114V1F96.jpg,,,Singleton,Sounders,So spake the false dissembler unperceiv'd.,"1 print: engraving ; image 168 x 110 mm., on sheet 244 x 150 mm",1796-01-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.1,F96
item4,Book IV. line 460.,image/jpeg,B114V1F101.jpg,Eve,Corbould,,White,"As I bent down to look, just opposite, A Shape within the watry Gleem appeard, Bending to look on me.","1 print: engraving ; image 168 x 110 mm., on sheet 244 x 150 mm",1795-01-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.1,F101
item5,Book V. line 144.,image/jpeg,B114V1F139.jpg,Eve; Adam,Corbould,,Heath,"Lowly they bow'd adoring, an began Their Orisons, each Morning duly paid In Various style","1 print: engraving ; image 168 x 112 mm., on sheet 244 x 150 mm",1794-12-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.1,F139
item6,Book VI. L. 535.,image/jpeg,B114V1F173.jpg,Lophiel; Cherubim,Corbould,,Sounders,"Lophiel, of Cherubim the swifest wing, Came, flying, & in mid-air aloud thus cried.","1 print: engraving ; image 164 x 110 mm., on sheet 244 x 150 mm",1795-10-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.1,F173
item7,Book VII. l. 50.,image/jpeg,B114V1F205.jpg,Eve; Adam,Corbould,,Heath,"He with this confronted Eve, The story heard attentive.","1 print: engraving ; image 168 x 111 mm., on sheet 244 x 150 mm",1795-02-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.1,F205
item8,Book VIII. L. 484,image/jpeg,B114V2F0.jpg,Eve; Adam,Corbould,,White,"on she came, Led by her heavenly Maker.","1 print: engraving ; image 168 x 110 mm., on sheet 244 x 150 mm",1795-04-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.2,F0
item9,Book IX. L. 892.,image/jpeg,B114V2F29.jpg,Eve; Adam,Corbould,,White,"From his slack hand, the garland wreath'd for Eve, Down dropp'd, and all the faded roses shed.","1 print: engraving ; image 169 x 113 mm., on sheet 244 x 150 mm",1795-08-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.2,F29
item10,Book X. L. 109.,image/jpeg,B114V2F73.jpg,Eve; Adam; God,Corbould,,Sounders,"He came, and with him Eve more loth, tho' first To offend, discount'nanc'd both and discompos'ed","1 print: engraving ; image 171x 113 mm., on sheet 244 x 150 mm",1795-07-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.2,F73
item11,Book X. line 449.,image/jpeg,B114V2F113.jpg,,Corbould,,White,"At least, as from a cloud his 'fulgent head And shape, star-bright appear'd","1 print: engraving ; image 168 x 110 mm., on sheet 244 x 150 mm",1795-06-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,Milton B114 V.2,F113
item12,Book I,image/jpeg,B303V1F18.jpg,,,H. Fuseli R.A.,W. Bronley,,"1 print: engraving ; image 117 x 91 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,B303 V.1 Mitlon ARCSPE,F18
